Depth,Width,Mean(ms),Deviation(ms)
1,10,0.000427829,0.000334971
1,15,0.00042657,0.000392091
2,10,0.00144844,0.000286812
2,15,0.00128085,0.0001937
3,10,0.00390266,0.000731601
3,15,0.00354367,0.000522872
4,10,0.00908432,0.00165651
4,15,0.00780778,0.001053
5,10,0.0187935,0.00316155
5,15,0.0160209,0.00192226
6,10,0.0362482,0.00591355
6,15,0.0407163,0.0175853
7,10,0.0633792,0.0171855
7,15,0.0604124,0.0176187
8,10,0.0810938,0.0183352
8,15,0.0857274,0.0220595
9,10,0.120348,0.036827
9,15,0.113374,0.0238186
10,10,0.146451,0.0430199
10,15,0.133241,0.0147487
11,10,0.197041,0.0755989
11,15,0.196585,0.0543874
12,10,0.246621,0.0919866
12,15,0.268114,0.0540924
13,10,0.321117,0.131976
13,15,0.267,0.027956
14,10,0.339864,0.143859
14,15,0.362813,0.0814199
15,10,0.469403,0.236313
15,15,0.395349,0.0537984
16,10,0.51447,0.260419
16,15,0.52372,0.133919
17,10,0.673493,0.371723
17,15,0.609995,0.111113
18,10,0.717416,0.399411
18,15,0.666138,0.10531
19,10,0.844691,0.506901
19,15,0.805438,0.147469
20,10,1.09503,0.710925
20,15,0.92098,0.185248
21,10,1.17661,0.801094
21,15,1.05022,0.16432
22,10,1.34701,0.91478
22,15,1.31275,0.322471
23,10,1.65455,1.1977
23,15,1.45227,0.407624
24,10,1.86341,1.43609
24,15,1.56003,0.291806
25,10,2.12067,1.61959
25,15,1.89351,0.526845
26,10,2.54095,2.05569
26,15,2.09338,0.522441
27,10,2.79318,2.28191
27,15,2.46084,0.753278
28,10,3.31805,2.91413
28,15,2.73195,0.814797
29,10,3.81283,3.26742
29,15,2.8257,0.615674
30,10,4.44171,3.98959
30,15,3.47848,1.01998
31,10,5.11631,4.60552
31,15,3.83236,1.09481
32,10,5.91028,5.39472
32,15,4.40635,1.36589
33,10,6.45178,5.99353
33,15,5.00669,1.83716
34,10,6.9095,6.46452
34,15,5.16379,1.56791
35,10,8.05173,7.65098
35,15,5.36988,1.39402
36,10,8.57441,8.38838
36,15,5.91559,1.59855
37,10,10.1991,9.95553
37,15,6.80192,1.86897
38,10,11.488,11.3679
38,15,7.42535,2.15857
39,10,12.9083,12.9803
39,15,8.17942,2.33981
40,10,14.5366,14.6209
40,15,8.92445,2.6159
41,10,15.8418,16.377
41,15,9.76297,2.90309
42,10,18.1179,18.6661
42,15,10.6956,3.25119
43,10,19.6083,20.834
43,15,11.5106,3.67685
44,10,22.0511,23.5721
44,15,12.6116,3.96478
45,10,25.2787,26.4618
45,15,13.5783,4.50513
46,10,25.8643,27.4204
46,15,14.0283,4.70201
47,10,28.0791,30.5618
47,15,15.3368,5.08602
48,10,32.3123,35.3298
48,15,16.9678,5.82622
49,10,36.4523,39.9275
49,15,18.4354,6.3961
50,10,39.2358,43.4987
50,15,19.7909,7.05342
